"movie_id","predicted_genres"
47335,Drama Thriller Crime
37260,Action Drama
22496,Horror Sci-Fi
31335,Documentary
44856,Mystery Documentary
29645,Crime Thriller
35767,Drama
4392,Drama Thriller
3357,War Western
45943,Action Crime Thriller
11599,Drama
39524,Action
20377,Horror Sci-Fi Thriller
45292,Horror Action Adventure
694,War
33852,Sci-Fi
13848,Action Romance
46564,Romance Action Western
51334,Horror
12709,Adventure Horror
43577,Action Western
44592,Sci-Fi Thriller Action
44832,Action Adventure Drama Horror Sci-Fi Thriller
51348,Documentary
46536,Crime Drama Thriller
14359,Fantasy Horror
23399,Horror
32120,Action Adventure Fantasy Sci-Fi
11612,Animation Musical
6010,Documentary
10150,Action Western
39207,Action Sci-Fi
47334,Horror Sci-Fi
33025,Documentary
42289,Action
28963,Comedy Horror Mystery
13686,Documentary
43887,Adventure Children Fantasy
25141,Western
1098,Drama
31530,Animation Documentary
45114,Horror
17933,Sci-Fi Thriller
7574,Horror Sci-Fi
19937,Drama
14267,Horror
47445,Action
51603,Drama Thriller
15727,Horror Action Thriller
4613,Action Sci-Fi
11758,Action Crime Drama Thriller
38261,Documentary
22019,Crime
41385,Western
2799,Documentary
21764,Documentary
34406,Horror
45079,Action Sci-Fi
39569,Crime
1049,Documentary
10090,Adventure Drama Sci-Fi
18272,Horror Thriller
23240,Horror Sci-Fi
48688,Horror Thriller
3409,Drama Horror Thriller Action
13239,Horror
17311,Crime Horror
32429,Adventure Comedy
47916,Horror Mystery
48079,Documentary Musical
27344,Children
35954,Documentary
28549,Animation Adventure Children Fantasy
39002,Documentary Musical
19028,Action Adventure Drama Sci-Fi War
30384,Thriller Comedy Horror
6102,Drama Horror Thriller
4315,Documentary Drama
5803,Western Action
32896,Crime Drama Thriller
37104,Drama Horror Thriller
49362,Comedy
46798,Musical Documentary
30340,Crime Drama
15324,Documentary
50760,Animation Drama Fantasy
13959,Mystery Thriller
46649,Drama Thriller
4368,Documentary
40502,Romance Children Animation Musical
16348,Crime Thriller
18500,Crime Mystery Thriller
30280,Animation Action Adventure
24663,Documentary
5661,Horror Thriller
10157,Musical Documentary
21151,Action Adventure
12763,Documentary
18002,Children Comedy Drama
31139,Documentary
25659,Horror
17903,Crime Horror Sci-Fi
23444,Sci-Fi Horror Mystery
22746,Horror
9538,Action Horror Sci-Fi Thriller
40336,Documentary Drama
25137,Drama Thriller
25017,Documentary
24560,Adventure Action Thriller
32504,Action  Adventure
41616,Documentary
41360,Adventure Drama Action Thriller
27019,Horror
36358,Documentary
37340,Crime Mystery Thriller
22726,Documentary
34143,Fantasy Musical
36728,Documentary Drama
9691,Drama Action Thriller Crime
11668,Thriller Drama Action Crime
30285,Drama Horror
20494,Comedy Drama
51039,Action Crime Thriller
21016,Drama Western
12632,Adventure Children
17539,Adventure Animation Drama
49732,Documentary Musical
34026,Action Adventure Fantasy
23672,Documentary
33455,Drama Horror Thriller
22825,Documentary
14461,Animation Family Comedy Horror Musical
45031,Western
40110,Horror Mystery Romance
39596,Animation Children
858,Documentary
20747,Documentary
19012,Comedy Crime Drama Thriller
14424,Drama
10369,Documentary
29237,Documentary
22934,Horror Mystery
19299,Drama
48251,Action Drama Thriller
25274,Children Comedy Drama Romance
8189,Adventure Mystery Thriller
34848,Drama Romance
2448,Documentary Drama
35747,Thriller Horror
26630,Documentary  Musical
28748,Western
39448,Documentary
25411,Crime Drama Thriller
23246,Horror
8181,Action Adventure Drama War
4466,Documentary
25597,Action  War
24364,Action Adventure Children
32219,Adventure Action Thriller Sci-Fi
33891,Fantasy Children
1877,Fantasy Action Sci-Fi Thriller
46976,Thriller
49380,Documentary Drama
556,Horror
36542,Drama Sci-Fi
51119,Horror Sci-Fi
14703,Documentary
2367,Documentary
35892,Action  Thriller
50773,Action
26074,Fantasy Action Adventure
29405,Action Crime Thriller
2982,Thriller
27377,Action Crime Drama Thriller
14497,Comedy Action Adventure Children
19345,Comedy Drama
22513,Adventure Children Comedy
26064,Documentary Musical
38842,Documentary Drama
7480,Fantasy Drama Action Thriller Animation
26168,Adventure Musical Children
20054,Western
52051,Documentary
31557,Action
36529,Action
32387,Documentary
6293,Horror
50864,Action Adventure
14759,Crime
16949,Documentary
16151,Documentary
40128,Horror
28094,Adventure Fantasy
40100,Action Crime Thriller
8559,Drama Horror Thriller
51587,Children Animation
48139,Documentary
44797,Animation Comedy Children Musical
14194,Action Sci-Fi
38878,Fantasy Horror
21934,Horror Mystery Thriller
8369,Western
38677,Musical
13334,Adventure Sci-Fi Action
31425,Horror
28885,Documentary
43268,Documentary
12052,Documentary
17145,Adventure Action Sci-Fi
36138,Action Thriller
25247,Animation
24123,Adventure Sci-Fi
43654,Thriller Horror
17666,Crime Horror Mystery Thriller
48906,Animation Musical
3062,Action Fantasy
2089,Action Comedy Drama
27502,Documentary
28834,Drama Western
50978,Horror Sci-Fi
4923,Sci-Fi
18862,Action Adventure Thriller
51711,Horror Sci-Fi
42545,Documentary
21079,Comedy Drama
50742,Action Thriller Crime
33670,Documentary
32657,Action Drama
4954,Horror
11541,Crime Thriller
11103,Crime Thriller Mystery Drama Comedy
35685,Drama Thriller
28307,Documentary
43610,Adventure
50018,Drama
32748,Action Thriller
17905,Musical Documentary
40250,Documentary
45710,Thriller
16313,Documentary
45686,Action Crime Fantasy
42283,Drama Horror Thriller
21679,Animation
27116,Horror
39877,Documentary
44306,Crime Drama
14632,Comedy
3340,Documentary
2740,Action Thriller
974,Thriller
19924,Crime Documentary
17441,Thriller
10191,Drama Mystery Horror Thriller
15905,Action Animation Sci-Fi
7409,Drama Thriller
48928,Western
14651,Mystery Thriller
42535,War Action
10115,Comedy Drama
26809,Comedy Drama
31007,Action Sci-Fi Thriller
24423,Drama Thriller
47159,Horror Mystery Thriller
44559,Children Animation Fantasy
29258,Comedy Western
37068,Action Thriller Crime
47174,Adventure Sci-Fi Romance
40037,Horror Thriller
1450,Documentary
3501,Horror Thriller
8356,Documentary Drama
29135,Horror
13904,Action Thriller Crime
18533,Action Western
35766,Action Crime
4583,Drama
3364,Documentary
11652,Thriller Crime
10350,Drama Horror
44269,Comedy
43459,Drama
11148,Crime
43859,Mystery
3048,Crime
43726,Western
15539,Action Adventure Sci-Fi
15537,Western Action
40493,Documentary Drama Thriller
39871,Adventure Animation Children Fantasy
41203,Drama Thriller
22642,Crime Mystery Thriller
27974,Mystery Animation Children
33164,Children Comedy
25070,Romance
15198,Horror Thriller
1968,Sci-Fi
52105,Thriller Action Adventure
43307,Documentary
41320,Action
32323,Drama Thriller
18937,Mystery Horror
15772,Horror Thriller
11972,Drama Thriller
39325,Adventure Horror Thriller
19653,Horror Mystery Thriller
40671,Animation Children
24233,Documentary
9862,Documentary Drama
2162,Horror
9030,Documentary
44807,Children Animation
2370,Sci-Fi
43422,Action Thriller
28501,Documentary Action Adventure
8400,Crime Drama Thriller
35994,Horror Sci-Fi
45437,Animation
20292,Documentary War
10857,Animation
30569,Horror
32860,Horror Mystery Sci-Fi
38754,Horror
20558,Action Western
6024,Horror Thriller
37207,Adventure Drama
5291,Comedy Thriller
710,Documentary
17308,Drama
14923,Action Horror
51412,Animation Children
41778,Documentary Crime
29027,Action Thriller Mystery
16007,Comedy Drama
25267,Action Thriller
4909,Drama Western
45164,Documentary
2728,Thriller Crime
16490,Horror Thriller
45594,Sci-Fi
48056,Horror
23795,Drama
4304,Adventure
4084,Comedy Horror Sci-Fi
4370,Action Sci-Fi Thriller
1987,Horror Action Sci-Fi
17185,Action Adventure Fantasy
39222,Documentary Drama
16496,Horror Sci-Fi
13617,Comedy
29702,Documentary Romance
40998,Action Drama Western
31597,Thriller Sci-Fi
38852,Mystery Children Thriller Romance
15861,Drama
6870,Action Thriller Crime
8894,Horror
15209,Action Thriller Crime Documentary
23479,Documentary
42461,Action Horror Sci-Fi
8873,Action Sci-Fi Fantasy Horror
18848,Comedy Drama
34467,Thriller Western Action Drama
35102,Drama Horror Thriller
20306,Horror
30628,Children Adventure
19719,Adventure Drama
42387,Animation Children
10860,Action Adventure
6054,Action Adventure Sci-Fi Thriller
39974,Documentary
2646,Horror Thriller
18808,Horror Thriller
21091,Horror Sci-Fi
35237,Documentary
50378,Documentary Drama
11124,Documentary Musical
7948,Drama Horror Thriller
64,Documentary
24963,Documentary
14465,Crime Drama Horror
23484,Thriller Crime Horror Mystery
9363,Action Western
14887,Sci-Fi
18999,Drama
35936,Comedy Drama
8749,Comedy Horror Sci-Fi
52161,Comedy Drama Romance
30154,Documentary
17034,Documentary Drama
27814,Documentary
30670,Fantasy Action Horror
50283,Documentary
8959,Horror Thriller
13716,Romance Thriller
32790,Action Adventure Sci-Fi
14038,Adventure
25986,Action Documentary Musical
20491,Horror
18780,Mystery Thriller
45367,Documentary
48596,Documentary Drama
14980,Action Adventure Thriller
19084,Action Horror Sci-Fi
28922,Action Sci-Fi
25280,Fantasy Horror
44418,Musical Documentary
7864,Documentary
14208,Documentary
41983,Action Crime Drama Thriller
2412,Animation Fantasy
46184,Children Fantasy
39422,Action Adventure Fantasy
10680,Sci-Fi  Action Thriller
33312,Drama War
40146,Thriller
48578,Documentary
4865,Horror Sci-Fi Thriller
10495,Drama Thriller
42107,Animation Children Adventure Sci-Fi
8771,Comedy Drama
44020,Documentary
20459,Comedy Drama
23253,Animation Adventure
14243,Comedy Drama
22038,Horror Thriller
6594,Horror
26838,Adventure Romance
15588,Action Sci-Fi
33397,Documentary Adventure Drama Action
13592,Thriller
51047,Animation Comedy
28838,Documentary
26894,Documentary
51601,Musical Documentary
3237,Documentary
43449,Adventure
47875,Action
36692,Horror Thriller Action
28851,Animation Children Fantasy
37936,Adventure Animation Children Drama
18529,Horror Sci-Fi
12850,Documentary
14011,Documentary
32623,Action Crime  War
39472,Drama
44852,Documentary
26562,Animation
10650,Action Western
42551,Drama
1079,Documentary Drama
41536,Documentary Drama
44110,Documentary
36400,Drama Romance
9451,Action Adventure Comedy Sci-Fi
26909,Horror
35133,Horror
40698,Documentary
42166,Crime
19545,Romance
14811,Action
3002,Documentary
4744,Documentary
20441,Comedy Crime Drama Mystery Thriller
40123,Comedy
32924,Action Thriller Sci-Fi
33370,Documentary
10384,Sci-Fi Thriller
47031,Drama Thriller
42724,Documentary
40566,Western
33233,Horror Thriller
7850,Documentary
46096,Comedy Drama
42999,Adventure Fantasy Sci-Fi
19424,Horror Thriller
29663,Horror
32625,Horror Mystery
49672,Horror Mystery Thriller
12393,Drama
44560,Drama Horror Thriller
50250,Drama Thriller
21347,Animation Action Adventure
20015,Horror Thriller
26302,Adventure Drama Sci-Fi
45689,Action Adventure
50655,Horror
7276,Animation
49431,Comedy
1477,Action Crime Horror Thriller
26075,Drama Action Crime Thriller
30697,Documentary Sci-Fi
21026,Action Thriller
4326,Horror Thriller
10980,Animation
48240,Adventure Drama Fantasy Sci-Fi
47199,Crime Thriller
17013,Horror
45387,Thriller Horror Mystery
25453,Children Fantasy Adventure
40843,Documentary
32583,Drama Thriller
45792,Drama
30964,Horror
51352,Action Adventure
37419,Comedy Drama
17678,Drama Thriller
17794,Action Animation Adventure
42506,Adventure War
19990,Documentary
49319,Sci-Fi Thriller
984,Action
50426,Action Thriller Sci-Fi
25362,Documentary
8311,Drama
49941,Crime Drama Thriller
38141,Action
39796,Action
37600,Documentary
11532,Drama Sci-Fi Thriller
1106,Adventure
42276,Action Adventure
17617,Drama
27041,Fantasy Children Animation
49023,Action Adventure Comedy
14370,Animation
32674,Comedy Horror
48395,Action Sci-Fi
3482,Animation Children Comedy
50551,Documentary Musical
46588,Action Thriller
9313,Horror
9798,Horror
6520,Action Drama
25322,Sci-Fi Action Adventure
40480,Documentary Drama
22579,Thriller Sci-Fi Action
28698,Horror Thriller
10961,Documentary
10099,Sci-Fi
1180,Comedy Horror
6638,Drama Thriller
24345,Documentary
24766,Western
3938,Drama
24333,Mystery
42162,Horror Thriller
684,Documentary
47961,Action
10001,Sci-Fi
35330,Comedy Drama
44604,Mystery Thriller
21459,Horror Sci-Fi Thriller
23014,Thriller Action Adventure
4219,Mystery Animation Fantasy
39009,Adventure Animation Fantasy
25749,Action Crime Drama Thriller
31932,Documentary
3136,Action Horror
14877,Drama
20720,Fantasy Horror Animation
15461,Animation Sci-Fi
11010,Action Western
45791,Thriller
20339,Thriller
29060,Action Thriller Sci-Fi
5035,Fantasy Drama
1884,Drama Thriller
4433,Documentary Drama
40944,Documentary
39535,Horror Sci-Fi Thriller
26520,Horror Thriller
8850,Horror Mystery Thriller
32524,Horror
8832,Documentary
52114,Western
9540,Documentary
26697,Documentary
51560,Drama Romance
47953,Documentary
34905,Western
42376,Comedy Crime Drama
2960,Action Crime Thriller
4008,Sci-Fi
20633,Horror
12236,Horror
6300,Documentary
42482,Horror Sci-Fi
12293,Action Drama Thriller Western
3557,Documentary
46427,Documentary
36280,Fantasy Horror
15356,Thriller Sci-Fi Action
26448,Documentary
18918,Documentary
49820,Comedy Crime Drama
5707,Documentary
6363,Documentary Drama
30469,Adventure Drama
732,Action
14207,Documentary
3969,Comedy Documentary
25198,Animation
263,Documentary
18056,Horror
23799,Action Adventure Drama Thriller
46929,Documentary Drama
37715,Mystery Animation Children
35200,Action Comedy Fantasy
27180,Comedy Drama
27451,Sci-Fi
34251,Animation Drama Horror
37191,Romance
15946,Fantasy Horror Thriller
14400,Action Adventure Drama
20778,Documentary
32671,Drama
36352,Horror
17229,Horror
37880,Drama Horror
48442,Comedy Drama
47321,Documentary
48956,Horror Mystery Thriller
40447,Horror Thriller
32784,Documentary
26310,Horror
16761,Documentary
1982,Drama
31587,Thriller Drama Crime
37757,Drama Crime Horror
9864,Horror Thriller Crime
48150,Documentary
45275,Comedy Drama Horror Mystery
27992,Action Crime Drama Thriller
12254,Horror Thriller
4356,Action Crime Mystery Thriller
34274,Action Crime  Thriller
50134,Action Adventure Crime Drama Thriller
18590,Drama
33461,Horror Sci-Fi
8744,Comedy Documentary
24776,Fantasy Horror Thriller
5171,Drama Thriller
51509,Documentary
31297,Drama Mystery Horror
2639,Documentary
34446,Animation
41925,Adventure Children Mystery Sci-Fi
10864,Horror Sci-Fi
33516,Documentary
2442,Documentary
17037,Horror
13995,Drama Horror
39815,Action Adventure Drama
5645,Adventure Drama
16149,Action Thriller
34325,Horror Action Thriller Mystery
9814,Action Adventure Sci-Fi Horror
24102,Fantasy Children Action
47570,Horror Thriller
39350,Thriller Mystery
16134,Action
42229,Horror
23738,Documentary
11325,Documentary
28602,Thriller
37543,Documentary
38406,Adventure Western
5135,Animation
51287,Crime Horror
30346,Crime Drama Mystery Thriller
20359,Animation Children
25588,Documentary
32804,Documentary
994,Crime
173,Action Adventure Thriller
47933,Documentary
28987,Comedy Drama
6517,Documentary
4896,Action Fantasy Sci-Fi
23186,Documentary
34949,Comedy Documentary Drama
29026,Drama Thriller
39928,Action Thriller Crime Mystery
27702,Action Adventure Western
28901,Horror
9210,Action Adventure Sci-Fi
49382,Action Adventure Crime Thriller
43581,Drama
38381,Action
4794,Documentary
30607,Children
25630,Adventure Documentary Fantasy
43584,Thriller
41099,Documentary
49315,Drama Thriller
45908,Animation Comedy
46570,Thriller
36359,Comedy
9432,Documentary
21831,Drama Horror Thriller
31898,Documentary
23500,Romance Comedy Drama
15222,Documentary
9761,Drama Horror Thriller
30292,Documentary Drama
9407,Action Crime Thriller
3010,Mystery Thriller
1781,Horror Mystery Thriller
23753,Fantasy Drama Children
32931,Horror
23865,Action Crime Thriller
15014,Documentary
50109,Musical Documentary
48193,Action Drama
29450,Horror Western
12792,Action Thriller
46518,Animation Children
14012,Action Thriller
21576,Animation Drama
33656,Action Sci-Fi Thriller
33292,Action
21371,Romance Thriller
33007,Documentary Musical
2284,Horror Thriller
1244,Documentary
41634,Musical Documentary
5617,Drama
27423,Comedy Drama
9792,Documentary
48326,Drama Thriller
10557,Drama Action Crime
16081,Comedy Documentary
22541,Documentary
33499,Horror
2845,Documentary
34989,War Drama
18389,Documentary
33691,Children Adventure
23363,Documentary
17342,Documentary Sci-Fi
1435,Horror
23624,Comedy Drama
39590,Documentary
13563,Action Adventure Romance Western
13017,Romance Fantasy Horror
22797,Fantasy Horror Sci-Fi
37097,Thriller Horror
37524,Horror
22916,Musical Sci-Fi
27477,Animation
18582,Animation Children
41908,Comedy
38404,Action Thriller
42672,Horror Thriller
10616,Action Thriller
36154,Drama Thriller Crime Action
44127,Thriller Crime
44373,Drama Horror
44768,Comedy Horror Sci-Fi
11608,Comedy Drama
12158,Animation
10134,Comedy Drama
46292,Action Thriller
36872,Horror Sci-Fi
1042,Animation Horror
51651,Drama
25634,Children Fantasy Horror
28560,Documentary Drama Musical
20352,Documentary
15958,Drama
38763,Sci-Fi Adventure
40126,Action Drama Thriller
7568,Documentary
35022,Animation Fantasy
14127,Crime
5129,Comedy Drama
13762,Documentary
32496,Comedy Drama
32018,Action Thriller
33917,Comedy Documentary
24774,Animation
43528,Drama
32675,Documentary
25200,Comedy Drama
20040,Drama Horror
4312,Sci-Fi
39989,Documentary
50213,Adventure Horror Thriller
3437,Horror
51454,Thriller Crime
35999,Horror Thriller
41519,Action Adventure Sci-Fi Thriller
39719,Adventure
49742,Drama
29949,Animation
28760,Mystery Thriller
39727,Action Thriller
18269,Horror
40273,Documentary Drama
1357,Crime Drama Horror Mystery Thriller
30911,Action Horror Sci-Fi
5527,Horror
11484,Action Crime Drama Thriller
4914,Documentary
23203,Drama Horror
27954,Drama Horror Thriller
35578,Action
2328,Action Sci-Fi War
32440,Action Horror
14048,Adventure
9517,Horror Thriller
39665,Horror
19326,Horror
4171,Documentary
1869,Documentary Drama
20509,Action Horror Thriller
25310,Documentary
43737,Thriller
2172,Action Drama Thriller
8926,Adventure Crime Romance
38554,Crime Drama Thriller
20137,Children Adventure Animation
15247,Crime Mystery
17527,Sci-Fi Action Fantasy Adventure
1633,Fantasy Sci-Fi
5384,Animation Comedy
51820,Comedy Drama Horror
15277,Crime Drama Thriller
24145,Animation Children
34327,Horror
52055,Documentary Musical
21252,Sci-Fi
5931,Western
47892,Adventure Animation
17757,Comedy
22257,Action Crime
17912,Action Adventure Drama Horror Sci-Fi Thriller Western
9275,Documentary
31732,Horror Sci-Fi
39392,Documentary
38320,Horror Musical
567,Fantasy Sci-Fi
45330,Documentary
227,Action Sci-Fi
42085,Documentary
15346,Documentary
9660,Action
37472,Thriller
25616,Comedy Documentary
41116,Drama Horror Thriller
16097,Horror Sci-Fi Thriller
24503,Horror Mystery Fantasy Thriller
47900,Comedy Drama Romance
10407,Comedy Drama
24128,Animation
23783,Documentary
36211,Drama
42558,Horror Thriller
50270,Children Fantasy Action Adventure
44001,Documentary
26371,Action Drama Thriller
17621,Documentary
26691,Adventure Drama
48342,Sci-Fi
18134,Drama Mystery Thriller
44162,Comedy Drama
28497,Documentary
17046,Thriller Horror Comedy
10491,Comedy Horror
14045,Fantasy Action Sci-Fi Children
41692,Documentary
29021,Action Western
3976,Crime Drama Mystery Thriller
23994,Comedy Drama
35271,Horror
18875,Drama
7597,Drama
48168,Action Western
6525,Documentary
40983,Horror Thriller
23252,Romance
13927,Sci-Fi Horror Action
35501,Adventure Fantasy
34011,Drama War
43981,Thriller
2026,Action Crime
16168,Action Drama Horror Thriller
43227,Children Comedy Drama
21504,Drama
17950,Comedy
44094,Drama War
18163,Drama
48176,Documentary
38030,Horror
38731,Adventure
30842,Horror Mystery Thriller
39067,Action Drama Thriller
5039,Children Adventure
30235,Fantasy Sci-Fi War
16976,Documentary
43011,Horror
36466,Western
33537,Animation
3852,Documentary
31401,Documentary
15088,Horror Thriller
6676,Fantasy
4393,Comedy Documentary
29166,Animation
39757,Romance Western
2690,Documentary Drama
41399,Action Crime Drama Thriller
46046,Drama Thriller
12944,Drama
5388,Western
29762,Action Children
43761,Documentary
8644,Thriller Horror Mystery
20599,Comedy Drama
20967,Thriller
39960,Horror Thriller
7566,Action Thriller
30320,Action Children Adventure
35880,Fantasy Action Horror Sci-Fi Adventure
48860,Adventure
7878,Comedy Drama
3948,Animation Children Comedy
43192,Documentary
50281,Horror
577,Musical Romance
32617,Thriller
27546,Documentary
18977,Horror
8784,Documentary
40400,Sci-Fi
33639,Horror Action Fantasy Thriller
10167,Horror
34407,Crime Thriller
3011,Crime Horror Thriller
41171,Thriller
22208,Action Crime Thriller
2255,Comedy Drama Romance
51631,Crime
21696,Animation Children
26359,Musical Documentary
31052,Crime Mystery Thriller
24581,Horror Thriller
44980,Documentary
40517,Crime Drama Thriller
2999,Western
1341,Documentary
38415,Documentary
19015,Fantasy Horror
30375,Drama Romance
18867,Action
18926,Animation Comedy
9971,Action Animation Adventure
23871,Documentary
42715,Documentary
35429,Crime Drama Horror Thriller
15966,Documentary
34903,Horror
22815,Drama Romance Fantasy Comedy
19188,Horror Sci-Fi Thriller
4299,Horror
33379,Documentary
14727,Drama Mystery Thriller
38578,Comedy Documentary
6736,Drama
9828,Action Romance Crime
36738,Documentary
38987,Adventure Children
26796,Drama Thriller
7924,Documentary
5306,Action Crime Drama Thriller
10567,Musical War Western
46215,Western Action
13055,Adventure Horror Thriller
23197,Sci-Fi Adventure Thriller
13544,Horror Thriller
8253,Documentary
21756,Documentary
5162,Drama
26615,Action Crime
36478,Crime
31306,Western
8088,Action Crime Thriller
18143,Western Sci-Fi
22935,Drama
34,Documentary
32391,Documentary
27869,Crime Drama Thriller
39440,Drama Horror Thriller
40836,Documentary
24536,Romance Drama
12650,Documentary Drama
5261,Action Thriller
1596,Horror
15917,Action Adventure Sci-Fi
30630,Children Romance
33208,Thriller Crime
19757,Musical Documentary
28356,Documentary
20396,Documentary
10336,Documentary
48149,Horror Thriller
39737,Documentary
48359,Documentary
11056,Comedy Documentary Drama
37943,Comedy Drama
27813,Documentary Drama
24812,Documentary
10137,Crime Action Thriller
3913,Sci-Fi Action
19256,Action Documentary
30827,Documentary
32663,Fantasy
16791,Documentary Horror
3810,Animation Adventure Children
36250,Children Fantasy Horror
41341,Comedy Horror Sci-Fi
28362,Horror Thriller
5903,Romance
19857,Romance
19195,Sci-Fi
7349,Animation Children
29986,Action Thriller
48902,Comedy Documentary Drama
45273,Drama Thriller
872,Thriller
30183,Adventure
281,Comedy Crime Drama Thriller
12630,Drama Thriller
20073,Action
5924,Documentary Musical
49216,Documentary
26629,Documentary
2772,Thriller
19917,Documentary Drama
32575,Documentary Drama War
38227,Action Adventure Drama Romance
36618,Drama
28489,Action Crime Drama Thriller
4871,Horror
19067,Horror Sci-Fi Thriller
42468,Drama Thriller Romance
7926,Animation Children Adventure
34597,Documentary
9282,Documentary Musical
9120,Horror
16706,Drama
10139,Animation
44699,Animation Comedy
521,Sci-Fi Thriller
21368,Documentary
26807,Action
50040,Drama
7006,Western
42596,Documentary
49229,Horror
50639,Documentary
27557,Western
26254,Horror Thriller
19362,Documentary
26727,Documentary Sci-Fi
23708,Action Crime Thriller
48733,Thriller
7268,Crime Western
30294,Crime Drama Thriller
5762,Western
31069,Horror Thriller
869,Horror Action Thriller
47877,Drama
37815,Mystery Thriller Drama
43997,Action Thriller Crime
24221,Drama
28403,Crime Drama Horror Thriller
43425,Adventure Fantasy Drama Sci-Fi Children
39631,Comedy
48683,Documentary
9063,Thriller Action
50452,Action Adventure Children
49263,Thriller Horror Action
30804,Children Comedy Drama
2803,Horror Sci-Fi
23420,Adventure Action
50261,Drama
38126,Animation Crime Documentary
4210,Action Adventure Horror Thriller
18794,Documentary
23025,Animation Children Drama
51625,Action Adventure Thriller
33153,Documentary
